     #Energy           s           p           d       tot  
   -10.32818     1.16214     0.12571    31.98807    33.27592
   -10.28918     1.17317     0.12754    31.98838    33.28909
   -10.25118     1.18368     0.12930    31.98867    33.30166
   -10.21218     1.19377     0.13102    31.98895    33.31374
   -10.17318     1.20380     0.13274    31.98924    33.32578
   -10.13518     1.21377     0.13446    31.98952    33.33776
   -10.09618     1.22327     0.13612    31.98979    33.34918
   -10.05718     1.23186     0.13764    31.99004    33.35954
   -10.01918     1.23854     0.13883    31.99023    33.36759
    -9.98018     1.24274     0.13959    31.99035    33.37268
    -9.94118     1.24525     0.14005    31.99042    33.37573
    -9.90318     1.24668     0.14032    31.99046    33.37747
    -9.86418     1.24736     0.14045    31.99048    33.37829
    -9.82518     1.24762     0.14050    31.99049    33.37861
    -9.78718     1.24768     0.14051    31.99049    33.37868
    -9.74818     1.24768     0.14051    31.99049    33.37868
    -9.70918     1.24768     0.14051    31.99049    33.37868
    -9.67118     1.24768     0.14051    31.99049    33.37868
    -9.63218     1.24776     0.14053    31.99049    33.37879
    -9.59318     1.24803     0.14060    31.99050    33.37912
    -9.55518     1.24851     0.14072    31.99052    33.37974
    -9.51618     1.24925     0.14090    31.99055    33.38069
    -9.47718     1.25029     0.14116    31.99058    33.38203
    -9.43918     1.25179     0.14154    31.99063    33.38397
    -9.40018     1.25397     0.14209    31.99071    33.38677
    -9.36118     1.25690     0.14283    31.99081    33.39054
    -9.32318     1.26063     0.14377    31.99094    33.39534
    -9.28418     1.26519     0.14493    31.99111    33.40123
    -9.24518     1.27062     0.14633    31.99130    33.40825
    -9.20718     1.27859     0.14836    31.99158    33.41854
    -9.16818     1.28852     0.15091    31.99194    33.43137
    -9.12918     1.29842     0.15349    31.99229    33.44420
    -9.09118     1.30833     0.15610    31.99265    33.45708
    -9.05218     1.31801     0.15870    31.99300    33.46972
    -9.01318     1.32778     0.16137    31.99336    33.48250
    -8.97518     1.33759     0.16408    31.99372    33.49538
    -8.93618     1.34749     0.16687    31.99409    33.50845
    -8.89718     1.35787     0.16986    31.99447    33.52220
    -8.85918     1.36861     0.17300    31.99488    33.53649
    -8.82018     1.37966     0.17628    31.99530    33.55124
    -8.78118     1.39109     0.17973    31.99573    33.56656
    -8.74318     1.40300     0.18341    31.99618    33.58259
    -8.70418     1.41548     0.18736    31.99666    33.59951
    -8.66518     1.42865     0.19163    31.99716    33.61745
    -8.62718     1.44263     0.19627    31.99770    33.63660
    -8.58818     1.45729     0.20127    31.99826    33.65682
    -8.54918     1.47220     0.20646    31.99884    33.67751
    -8.51118     1.48953     0.21307    31.99949    33.70209
    -8.47218     1.51158     0.22287    32.00028    33.73473
    -8.43318     1.53630     0.23507    32.00113    33.77250
    -8.39518     1.56099     0.24762    32.00198    33.81058
    -8.35618     1.58364     0.25898    32.00277    33.84539
    -8.31718     1.60304     0.26848    32.00347    33.87499
    -8.27918     1.62015     0.27671    32.00411    33.90098
    -8.24018     1.63599     0.28429    32.00472    33.92499
    -8.20118     1.65078     0.29133    32.00529    33.94740
    -8.16318     1.66474     0.29796    32.00584    33.96854
    -8.12418     1.67804     0.30428    32.00638    33.98870
    -8.08518     1.69079     0.31033    32.00690    34.00801
    -8.04718     1.70302     0.31616    32.00740    34.02659
    -8.00818     1.71479     0.32178    32.00790    34.04446
    -7.96918     1.72610     0.32721    32.00838    34.06168
    -7.93118     1.73697     0.33245    32.00885    34.07826
    -7.89218     1.74742     0.33751    32.00930    34.09423
    -7.85318     1.75744     0.34240    32.00975    34.10959
    -7.81518     1.76703     0.34711    32.01018    34.12432
    -7.77618     1.77622     0.35166    32.01060    34.13849
    -7.73718     1.78510     0.35608    32.01102    34.15220
    -7.69918     1.79370     0.36039    32.01142    34.16552
    -7.66018     1.80208     0.36461    32.01182    34.17852
    -7.62118     1.81028     0.36875    32.01222    34.19126
    -7.58318     1.81831     0.37282    32.01261    34.20375
    -7.54418     1.82618     0.37683    32.01300    34.21601
    -7.50518     1.83389     0.38076    32.01339    34.22804
    -7.46718     1.84144     0.38463    32.01377    34.23984
    -7.42818     1.84883     0.38843    32.01415    34.25141
