    # Energy          Ge           H
   -23.36588     0.00000     0.00000
   -23.35288     0.00000     0.00000
   -23.34088     0.00000     0.00000
   -23.32788     0.00000     0.00000
   -23.31488     0.00000     0.00000
   -23.30288     0.00000     0.00000
   -23.28988     0.00000     0.00000
   -23.27788     0.00000     0.00000
   -23.26488     0.00000     0.00000
   -23.25288     0.00000     0.00000
   -23.23988     0.00000     0.00000
   -23.22688     0.00000     0.00000
   -23.21488     0.00000     0.00000
   -23.20188     0.00000     0.00000
   -23.18988     0.00000     0.00000
   -23.17688     0.00000     0.00000
   -23.16488     0.00000     0.00000
   -23.15188     0.00000     0.00000
   -23.13888     0.00000     0.00000
   -23.12688     0.00000     0.00000
   -23.11388     0.00000     0.00000
   -23.10188     0.00000     0.00000
   -23.08888     0.00000     0.00000
   -23.07688     0.00000     0.00000
   -23.06388     0.00000     0.00000
   -23.05088     0.00000     0.00000
   -23.03888     0.00000     0.00000
   -23.02588     0.00000     0.00000
   -23.01388     0.00000     0.00000
   -23.00088     0.00000     0.00000
   -22.98888     0.00000     0.00000
   -22.97588     0.00000     0.00000
   -22.96288     0.00000     0.00000
   -22.95088     0.00000     0.00000
   -22.93788     0.00000     0.00000
   -22.92588     0.00000     0.00000
   -22.91288     0.00000     0.00000
   -22.90088     0.00000     0.00000
   -22.88788     0.00000     0.00000
   -22.87488     0.00000     0.00000
   -22.86288     0.00000     0.00000
   -22.84988     0.00000     0.00000
   -22.83788     0.00000     0.00000
   -22.82488     0.00000     0.00000
   -22.81288     0.00000     0.00000
   -22.79988     0.00000     0.00000
   -22.78688     0.00000     0.00000
   -22.77488     0.00000     0.00000
   -22.76188     0.00000     0.00000
   -22.74988     0.00000     0.00000
   -22.73688     0.00000     0.00000
   -22.72488     0.00000     0.00000
   -22.71188     0.00000     0.00000
   -22.69888     0.00000     0.00000
   -22.68688     0.00000     0.00000
   -22.67388     0.00000     0.00000
   -22.66188     0.00000     0.00000
   -22.64888     0.00000     0.00000
   -22.63688     0.00000     0.00000
   -22.62388     0.00000     0.00000
   -22.61188     0.00000     0.00000
   -22.59888     0.00000     0.00000
   -22.58588     0.00000     0.00000
   -22.57388     0.00000     0.00000
   -22.56088     0.00000     0.00000
   -22.54888     0.00000     0.00000
   -22.53588     0.00000     0.00000
   -22.52388     0.00000     0.00000
   -22.51088     0.00000     0.00000
   -22.49788     0.00000     0.00000
   -22.48588     0.00000     0.00000
   -22.47288     0.00000     0.00000
   -22.46088     0.00000     0.00000
   -22.44788     0.00000     0.00000
   -22.43588     0.00000     0.00000
   -22.42288     0.00000     0.00000
   -22.40988     0.00000     0.00000
   -22.39788     0.00000     0.00000
   -22.38488     0.00000     0.00000
   -22.37288     0.00000     0.00000
   -22.35988     0.00000     0.00000
   -22.34788     0.00000     0.00000
   -22.33488     0.00000     0.00000
   -22.32188     0.00000     0.00000
   -22.30988     0.00000     0.00000
   -22.29688     0.00000     0.00000
   -22.28488     0.00000     0.00000
   -22.27188     0.00000     0.00000
   -22.25988     0.00000     0.00000
   -22.24688     0.00000     0.00000
   -22.23388     0.00000     0.00000
   -22.22188     0.00000     0.00000
   -22.20888     0.00000     0.00000
   -22.19688     0.00000     0.00000
   -22.18388     0.00000     0.00000
   -22.17188     0.00000     0.00000
   -22.15888     0.00000     0.00000
   -22.14588     0.00000     0.00000
   -22.13388     0.00000     0.00000
   -22.12088     0.00000     0.00000
   -22.10888     0.00000     0.00000
   -22.09588     0.00000     0.00000
   -22.08388     0.00000     0.00000
   -22.07088     0.00000     0.00000
   -22.05788     0.00000     0.00000
   -22.04588     0.00000     0.00000
   -22.03288     0.00000     0.00000
   -22.02088     0.00000     0.00000
   -22.00788     0.00000     0.00000
   -21.99588     0.00000     0.00000
   -21.98288     0.00000     0.00000
   -21.96988     0.00000     0.00000
   -21.95788     0.00000     0.00000
   -21.94488     0.00000     0.00000
   -21.93288     0.00000     0.00000
   -21.91988     0.00000     0.00000
   -21.90788     0.00000     0.00000
   -21.89488     0.00000     0.00000
   -21.88288     0.00000     0.00000
   -21.86988     0.00000     0.00000
   -21.85688     0.00000     0.00000
   -21.84488     0.00000     0.00000
   -21.83188     0.00000     0.00000
   -21.81988     0.00000     0.00000
   -21.80688     0.00000     0.00000
   -21.79488     0.00000     0.00000
   -21.78188     0.00000     0.00000
   -21.76888     0.00000     0.00000
   -21.75688     0.00000     0.00000
   -21.74388     0.00000     0.00000
   -21.73188     0.00000     0.00000
   -21.71888     0.00000     0.00000
   -21.70688     0.00000     0.00000
   -21.69388     0.00000     0.00000
   -21.68088     0.00000     0.00000
   -21.66888     0.00000     0.00000
   -21.65588     0.00000     0.00000
   -21.64388     0.00000     0.00000
   -21.63088     0.00000     0.00000
   -21.61888     0.00000     0.00000
   -21.60588     0.00000     0.00000
   -21.59288     0.00000     0.00000
   -21.58088     0.00000     0.00000
   -21.56788     0.00000     0.00000
   -21.55588     0.00000     0.00000
   -21.54288     0.00000     0.00000
   -21.53088     0.00000     0.00000
   -21.51788     0.00000     0.00000
   -21.50488     0.00000     0.00000
   -21.49288     0.00000     0.00000
   -21.47988     0.00000     0.00000
   -21.46788     0.00000     0.00000
   -21.45488     0.00000     0.00000
   -21.44288     0.00000     0.00000
   -21.42988     0.00000     0.00000
   -21.41688     0.00000     0.00000
   -21.40488     0.00000     0.00000
   -21.39188     0.00000     0.00000
   -21.37988     0.00000     0.00000
   -21.36688     0.00000     0.00000
   -21.35488     0.00000     0.00000
   -21.34188     0.00000     0.00000
   -21.32888     0.00000     0.00000
   -21.31688     0.00000     0.00000
   -21.30388     0.00000     0.00000
   -21.29188     0.00000     0.00000
   -21.27888     0.00000     0.00000
   -21.26688     0.00000     0.00000
   -21.25388     0.00000     0.00000
   -21.24188     0.00000     0.00000
   -21.22888     0.00000     0.00000
   -21.21588     0.00000     0.00000
   -21.20388     0.00000     0.00000
   -21.19088     0.00000     0.00000
   -21.17888     0.00000     0.00000
   -21.16588     0.00000     0.00000
   -21.15388     0.00000     0.00000
   -21.14088     0.00000     0.00000
   -21.12788     0.00000     0.00000
   -21.11588     0.00000     0.00000
   -21.10288     0.00000     0.00000
   -21.09088     0.00000     0.00000
   -21.07788     0.00000     0.00000
   -21.06588     0.00000     0.00000
   -21.05288     0.00000     0.00000
   -21.03988     0.00000     0.00000
   -21.02788     0.00000     0.00000
   -21.01488     0.00000     0.00000
   -21.00288     0.00000     0.00000
   -20.98988     0.00000     0.00000
   -20.97788     0.00000     0.00000
   -20.96488     0.00000     0.00000
   -20.95188     0.00000     0.00000
   -20.93988     0.00000     0.00000
   -20.92688     0.00000     0.00000
   -20.91488     0.00000     0.00000
   -20.90188     0.00000     0.00000
   -20.88988     0.00000     0.00000
   -20.87688     0.00000     0.00000
   -20.86388     0.00000     0.00000
   -20.85188     0.00000     0.00000
   -20.83888     0.00000     0.00000
   -20.82688     0.00000     0.00000
   -20.81388     0.00000     0.00000
   -20.80188     0.00000     0.00000
   -20.78888     0.00000     0.00000
   -20.77588     0.00000     0.00000
   -20.76388     0.00000     0.00000
   -20.75088     0.00000     0.00000
   -20.73888     0.00000     0.00000
   -20.72588     0.00000     0.00000
   -20.71388     0.00000     0.00000
   -20.70088     0.00000     0.00000
   -20.68788     0.00000     0.00000
   -20.67588     0.00000     0.00000
   -20.66288     0.00000     0.00000
   -20.65088     0.00000     0.00000
   -20.63788     0.00000     0.00000
   -20.62588     0.00000     0.00000
   -20.61288     0.00000     0.00000
   -20.59988     0.00000     0.00000
   -20.58788     0.00000     0.00000
   -20.57488     0.00000     0.00000
   -20.56288     0.00000     0.00000
   -20.54988     0.00000     0.00000
   -20.53788     0.00000     0.00000
   -20.52488     0.00000     0.00000
   -20.51288     0.00000     0.00000
   -20.49988     0.00000     0.00000
   -20.48688     0.00000     0.00000
   -20.47488     0.00000     0.00000
   -20.46188     0.00000     0.00000
