     #Energy      Ge_all
   -13.88193     0.00000
   -13.87093     0.00000
   -13.85993     0.00000
   -13.84893     0.00000
   -13.83793     0.00000
   -13.82693     0.00000
   -13.81493     0.00000
   -13.80393     0.00000
   -13.79293     0.00000
   -13.78193     0.00000
   -13.77093     0.00000
   -13.75993     0.00000
   -13.74893     0.00000
   -13.73693     0.00000
   -13.72593     0.00000
   -13.71493     0.00000
   -13.70393     0.00000
   -13.69293     0.00000
   -13.68193     0.00000
   -13.66993     0.00000
   -13.65893     0.00000
   -13.64793     0.00000
   -13.63693     0.00000
   -13.62593     0.00000
   -13.61493     0.00000
   -13.60293     0.00000
   -13.59193     0.00000
   -13.58093     0.00000
   -13.56993     0.00000
   -13.55893     0.00000
   -13.54793     0.00000
   -13.53693     0.00000
   -13.52493     0.00000
   -13.51393     0.00000
   -13.50293     0.00000
   -13.49193     0.00000
   -13.48093     0.00000
   -13.46993     0.00000
   -13.45793     0.00000
   -13.44693     0.00000
   -13.43593     0.00000
   -13.42493     0.00000
   -13.41393     0.00000
   -13.40293     0.00000
   -13.39193     0.00000
   -13.37993     0.00000
   -13.36893     0.00000
   -13.35793     0.00000
   -13.34693     0.00000
   -13.33593     0.00000
   -13.32493     0.00000
   -13.31293     0.00000
   -13.30193     0.00000
   -13.29093     0.00000
   -13.27993     0.00000
   -13.26893     0.00000
   -13.25793     0.00000
   -13.24693     0.00000
   -13.23493     0.00000
   -13.22393     0.00000
   -13.21293     0.00000
   -13.20193     0.00000
   -13.19093     0.00000
   -13.17993     0.00000
