    # Energy          Ge           H
   -22.71259     0.00000     0.00000
   -22.69959     0.00000     0.00000
   -22.68759     0.00000     0.00000
   -22.67459     0.00000     0.00000
   -22.66159     0.00000     0.00000
   -22.64959     0.00000     0.00000
   -22.63659     0.00000     0.00000
   -22.62459     0.00000     0.00000
   -22.61159     0.00000     0.00000
   -22.59859     0.00000     0.00000
   -22.58659     0.00000     0.00000
   -22.57359     0.00000     0.00000
   -22.56159     0.00000     0.00000
   -22.54859     0.00000     0.00000
   -22.53659     0.00000     0.00000
   -22.52359     0.00000     0.00000
   -22.51059     0.00000     0.00000
   -22.49859     0.00000     0.00000
   -22.48559     0.00000     0.00000
   -22.47359     0.00000     0.00000
   -22.46059     0.00000     0.00000
   -22.44859     0.00000     0.00000
   -22.43559     0.00000     0.00000
   -22.42259     0.00000     0.00000
   -22.41059     0.00000     0.00000
   -22.39759     0.00000     0.00000
   -22.38559     0.00000     0.00000
   -22.37259     0.00000     0.00000
   -22.35959     0.00000     0.00000
   -22.34759     0.00000     0.00000
   -22.33459     0.00000     0.00000
   -22.32259     0.00000     0.00000
   -22.30959     0.00000     0.00000
   -22.29759     0.00000     0.00000
   -22.28459     0.00000     0.00000
   -22.27159     0.00000     0.00000
   -22.25959     0.00000     0.00000
   -22.24659     0.00000     0.00000
   -22.23459     0.00000     0.00000
   -22.22159     0.00000     0.00000
   -22.20859     0.00000     0.00000
   -22.19659     0.00000     0.00000
   -22.18359     0.00000     0.00000
   -22.17159     0.00000     0.00000
   -22.15859     0.00000     0.00000
   -22.14659     0.00000     0.00000
   -22.13359     0.00000     0.00000
   -22.12059     0.00000     0.00000
   -22.10859     0.00000     0.00000
   -22.09559     0.00000     0.00000
   -22.08359     0.00000     0.00000
   -22.07059     0.00000     0.00000
   -22.05759     0.00000     0.00000
   -22.04559     0.00000     0.00000
   -22.03259     0.00000     0.00000
   -22.02059     0.00000     0.00000
   -22.00759     0.00000     0.00000
   -21.99559     0.00000     0.00000
   -21.98259     0.00000     0.00000
   -21.96959     0.00000     0.00000
   -21.95759     0.00000     0.00000
   -21.94459     0.00000     0.00000
   -21.93259     0.00000     0.00000
   -21.91959     0.00000     0.00000
   -21.90759     0.00000     0.00000
   -21.89459     0.00000     0.00000
   -21.88159     0.00000     0.00000
   -21.86959     0.00000     0.00000
   -21.85659     0.00000     0.00000
   -21.84459     0.00000     0.00000
   -21.83159     0.00000     0.00000
   -21.81859     0.00000     0.00000
   -21.80659     0.00000     0.00000
   -21.79359     0.00000     0.00000
   -21.78159     0.00000     0.00000
   -21.76859     0.00000     0.00000
   -21.75659     0.00000     0.00000
   -21.74359     0.00000     0.00000
   -21.73059     0.00000     0.00000
   -21.71859     0.00000     0.00000
   -21.70559     0.00000     0.00000
   -21.69359     0.00000     0.00000
   -21.68059     0.00000     0.00000
   -21.66759     0.00000     0.00000
   -21.65559     0.00000     0.00000
   -21.64259     0.00000     0.00000
   -21.63059     0.00000     0.00000
   -21.61759     0.00000     0.00000
   -21.60559     0.00000     0.00000
   -21.59259     0.00000     0.00000
   -21.57959     0.00000     0.00000
   -21.56759     0.00000     0.00000
   -21.55459     0.00000     0.00000
   -21.54259     0.00000     0.00000
   -21.52959     0.00000     0.00000
   -21.51659     0.00000     0.00000
   -21.50459     0.00000     0.00000
   -21.49159     0.00000     0.00000
   -21.47959     0.00000     0.00000
   -21.46659     0.00000     0.00000
   -21.45459     0.00000     0.00000
   -21.44159     0.00000     0.00000
   -21.42859     0.00000     0.00000
   -21.41659     0.00000     0.00000
   -21.40359     0.00000     0.00000
   -21.39159     0.00000     0.00000
   -21.37859     0.00000     0.00000
   -21.36559     0.00000     0.00000
   -21.35359     0.00000     0.00000
   -21.34059     0.00000     0.00000
   -21.32859     0.00000     0.00000
   -21.31559     0.00000     0.00000
   -21.30359     0.00000     0.00000
   -21.29059     0.00000     0.00000
   -21.27759     0.00000     0.00000
   -21.26559     0.00000     0.00000
   -21.25259     0.00000     0.00000
