# E_raw(eV)  DOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.877799999999999869e+01 0.000000000000000000e+00 -2.824859340999999802e+01 -3.369233997477950737e+01 -3.293945695176216759e+01 -2.381986819937089450e+01
-2.876500000000000057e+01 0.000000000000000000e+00 -2.823559340999999989e+01 -3.367933997477950925e+01 -3.292645695176216947e+01 -2.380686819937089638e+01
-2.875300000000000011e+01 0.000000000000000000e+00 -2.822359340999999944e+01 -3.366733997477950879e+01 -3.291445695176216901e+01 -2.379486819937089592e+01
-2.873999999999999844e+01 0.000000000000000000e+00 -2.821059340999999776e+01 -3.365433997477950356e+01 -3.290145695176216378e+01 -2.378186819937089425e+01
-2.872700000000000031e+01 0.000000000000000000e+00 -2.819759340999999964e+01 -3.364133997477950544e+01 -3.288845695176216566e+01 -2.376886819937089612e+01
-2.871499999999999986e+01 0.000000000000000000e+00 -2.818559340999999918e+01 -3.362933997477950498e+01 -3.287645695176216520e+01 -2.375686819937089567e+01
-2.870200000000000173e+01 0.000000000000000000e+00 -2.817259341000000106e+01 -3.361633997477950686e+01 -3.286345695176216708e+01 -2.374386819937089754e+01
-2.869000000000000128e+01 0.000000000000000000e+00 -2.816059341000000060e+01 -3.360433997477950641e+01 -3.285145695176216663e+01 -2.373186819937089709e+01
-2.867699999999999960e+01 0.000000000000000000e+00 -2.814759340999999893e+01 -3.359133997477950828e+01 -3.283845695176216850e+01 -2.371886819937089541e+01
-2.866400000000000148e+01 0.000000000000000000e+00 -2.813459341000000080e+01 -3.357833997477951016e+01 -3.282545695176217038e+01 -2.370586819937089729e+01
-2.865200000000000102e+01 3.308999999999999929e-15 -2.812259341000000035e+01 -3.356633997477950970e+01 -3.281345695176216992e+01 -2.369386819937089683e+01
-2.863899999999999935e+01 9.154999999999999865e-14 -2.810959340999999867e+01 -3.355333997477950447e+01 -3.280045695176216469e+01 -2.368086819937089516e+01
-2.862699999999999889e+01 1.606000000000000023e-12 -2.809759340999999822e+01 -3.354133997477950402e+01 -3.278845695176216424e+01 -2.366886819937089470e+01
-2.861400000000000077e+01 2.434000000000000009e-11 -2.808459341000000009e+01 -3.352833997477950589e+01 -3.277545695176216611e+01 -2.365586819937089658e+01
